1	Two Hundred Sketches Humorous and Grotesque	1867
2	A Bushel of Merry-Thoughts	1868
3	Ye Veracious Chronicle of Gruff & Pompey in 7 Tableaux	1870
4	Further Adventures in Fools' Paradise with the Many Wonderful Sights as Seen in the Strange Surprising Peep Show of Professor Wolley Cobble	1870
5	The Romance of a Hammock - As Recited by Mr. Gus Williams in "One of the Finest"	1870
6	Miss Wiseman's Purchase / Mrs. Sillybilly's Purchase	1870
7	Max and Maurice -- A Juvenile History in Seven Tricks	1871
8	The Foreign Tour of Messrs. Brown, Jones, and Robinson	1860-1877
9	The Mischief Book	1880
10	How Adolphus Slim-Jim Used Jackson's Best and Was Happy, A Lengthy Tale, in 7 Acts	1880
11	The Story of a Foolish Man / The Story of a Wise Man	1880
12	A Tale of the Rising Sun Stove Polish	1880
13	Arm & Hammer Brand Church & Co's Soda and Saleratus	1880
14	Before & After Marriage in Five Acts	1882
15	Plish and Plum	1883
16	The Classical Story of Jupiter & Danae, or "How to Win a Woman"	1883
17	Sunshine and Shadow -- A Drama by the Sea	1886
18	The Evolution of a Democrat -- A Darwinian Tale	1888
19	In the "400" and Out	1889
20	The Girl Who Wouldn't Mind Getting Married	1890
21	The Yellow Kid	1897
22	Cartoons of Our War with Spain by Ch. Nelan	1898
23	The Courtship of Tags	1900
24	Quick Meal Steel Ranges	1900
25	Cartoons by McCutcheon	1903
26	A Phil May Medley	1903
27	Bird Center Cartoons	1904
28	Incidents in the Life of Buster Brown	1904
29	The Buster Brown Drawing Book	1904
30	Buster Brown's Experiences With Pond's Extract	1904
31	Little Sammy Sneeze	1905
32	Brainy Bowers and Drowsy Duggan	1905
33	Buster Brown, My Resolutions --	1906
34	Drawing Book	1906
35	Drawing Book	1906
36	The Adventures of Peck's Bad Boy	1906
37	Uncle Remus and Brer Rabbit	1907
38	Buddy Tucker Meets Alice in Wonderland [Buster Brown Nuggets Series]	1907
39	Buddy Tucker Visits the House That Jack Built [Buster Brown Nuggets Series]	1907
40	Buster Brown Goes Fishing [Buster Brown Nuggets Series]	1907
41	Buster Brown Goes Shooting [Buster Brown Nuggets Series]	1907
42	Buster Brown Goes Swimming [Buster Brown Nuggets Series]	1907
43	Buster Brown on Uncle Jack's Farm [Buster Brown Nuggets Series]	1907
44	Buster Brown Plays Indian [Buster Brown Nuggets Series]	1907
45	Foxy Grandpa and His Boys. Fun on the Farm, Foxy Grandpa Sparklets Series:	1908
46	Foxy Grandpa Playing Ball, Foxy Grandpa Child Series:	1908
47	Doing of the Duffs	1910
48	The Umbrella Man	1911
49	Silk Hat Harry's Divorce Suit	1912
50	Doings of The Van-Loons	1912
51	The Adventures of Willie Winters	1912
52	Oh, Man!	1919
53	Wally - His Cartoons of the A.E.F.	1919
54	Old Gold The Smoother and Better Cigarette ...Not a Cough in a Carload	1927
55	Roger Bean	1935
56	The Wishbone Man	1924
57	The Gay Nineties -- An Album of Reminiscent Drawings	1927
58	Texas History "Movies"	1928
59	Texas History Movies	1928
60	How They Draw Prohibition	1930
61	Les Aventures de Tintin	1930-1932
62	Jolly Polly's Book of English and Etiquette	1931
63	The Timid Soul	1931
64	Erbie and 'Is Playmates -- Five Minutes of Fun with F. Opper	1932
65	Reptisaurus Special Edition	1963
66	Famous Funnies- Carnival of Comics	1933
67	Skippy's Own Book of Comics	1934
68	Famous Funnies	1934-1955
69	Les Aventures de Tintin	1934-1986
70	The Big Book of Fun Comics	1935
71	New Comics	1935-1936
72	New Fun	1935
73	Mickey Mouse Magazine	1935-1940
74	More Fun Comics	1936-1947
75	More Fun	1936
76	New Book of Comics	1936-1938
77	The Comics Magazine (Funny Pages)	1936
78	The Comics Magazine	1936
